GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
mcuserservice,dev.shann.mcuserservice.model,Users,75,109,19,11,0,7,16,13,2,12
mcuserservice,dev.shann.mcuserservice.model,Users.UsersBuilder,8,28,0,0,0,1,1,5,1,5
mcuserservice,dev.shann.mcuserservice.service,UserService,0,21,0,0,0,5,0,3,0,3
mcuserservice,dev.shann.mcuserservice.exceptions,EmailNotFoundException,0,4,0,0,0,2,0,1,0,1
mcuserservice,dev.shann.mcuserservice.DTO,AuthenticateUserDTO.AuthenticateUserDTOBuilder,6,21,0,0,0,1,1,4,1,4
mcuserservice,dev.shann.mcuserservice.DTO,CreateUserDTO.CreateUserDTOBuilder,5,14,0,0,0,1,1,3,1,3
mcuserservice,dev.shann.mcuserservice.DTO,AuthenticateUserDTO,56,72,15,7,0,6,13,9,2,9
mcuserservice,dev.shann.mcuserservice.DTO,CreateUserDTO,36,50,9,5,0,5,9,7,2,7
mcuserservice,dev.shann.mcuserservice.controller,UserController,0,33,0,2,0,7,0,4,0,3
mcuserservice,dev.shann.mcuserservice,McuserserviceApplication,5,8,0,0,2,2,1,2,1,2
mcuserservice,dev.shann.mcuserservice.exceptions.handler,GlobalExceptionHandler,0,14,0,0,0,2,0,2,0,2
